startdate,enddate,ticker
31-03-2020,30-06-2020,BINANIIND.NS
31-03-2020,30-06-2020,BINDALAGRO.NS
31-03-2020,30-06-2020,BIOCON.NS
31-03-2020,30-06-2020,BIOFILCHEM.NS
31-03-2020,30-06-2020,BIRLACABLE.NS
31-03-2020,30-06-2020,BIRLACORPN.NS
31-03-2020,30-06-2020,BIRLAMONEY.NS
31-03-2020,30-06-2020,BLBLIMITED.NS
31-03-2020,30-06-2020,BLS.NS
31-03-2020,30-06-2020,BLUEDART.NS
31-03-2020,30-06-2020,BLUESTARCO.NS
31-03-2020,30-06-2020,BODALCHEM.NS
31-03-2020,30-06-2020,BOMDYEING.NS
31-03-2020,30-06-2020,BOSCHLTD.NS
31-03-2020,30-06-2020,BPCL.NS
31-03-2020,30-06-2020,BPL.NS
31-03-2020,30-06-2020,BRFL.NS
31-03-2020,30-06-2020,BRIGADE.NS
31-03-2020,30-06-2020,BRITANNIA.NS
31-03-2020,30-06-2020,BRNL.NS
31-03-2020,30-06-2020,BROOKS.NS
31-03-2020,30-06-2020,BSE.NS
31-03-2020,30-06-2020,BSL.NS
31-03-2020,30-06-2020,BURNPUR.NS
31-03-2020,30-06-2020,BUTTERFLY.NS
31-03-2020,30-06-2020,BVCL.NS
31-03-2020,30-06-2020,BYKE.NS
31-03-2020,30-06-2020,CADILAHC.NS
31-03-2020,30-06-2020,CAMLINFINE.NS
31-03-2020,30-06-2020,CANBK.NS
31-03-2020,30-06-2020,CANTABIL.NS
31-03-2020,30-06-2020,CAPACITE.NS
31-03-2020,30-06-2020,CAPLIPOINT.NS
31-03-2020,30-06-2020,CAPTRUST.NS
31-03-2020,30-06-2020,CARBORUNIV.NS
31-03-2020,30-06-2020,CAREERP.NS
31-03-2020,30-06-2020,CARERATING.NS
31-03-2020,30-06-2020,CASTEXTECH.NS
31-03-2020,30-06-2020,CASTROLIND.NS
31-03-2020,30-06-2020,CCCL.NS
31-03-2020,30-06-2020,CCHHL.NS
31-03-2020,30-06-2020,CCL.NS
31-03-2020,30-06-2020,CDSL.NS
31-03-2020,30-06-2020,CEATLTD.NS
31-03-2020,30-06-2020,CEBBCO.NS
31-03-2020,30-06-2020,CELEBRITY.NS
31-03-2020,30-06-2020,CENTENKA.NS
31-03-2020,30-06-2020,CENTEXT.NS
31-03-2020,30-06-2020,CENTRALBK.NS
31-03-2020,30-06-2020,CENTUM.NS
31-03-2020,30-06-2020,CENTURYPLY.NS
31-03-2020,30-06-2020,CENTURYTEX.NS
31-03-2020,30-06-2020,CERA.NS
31-03-2020,30-06-2020,CEREBRAINT.NS
31-03-2020,30-06-2020,CESC.NS
31-03-2020,30-06-2020,CGCL.NS
31-03-2020,30-06-2020,CGPOWER.NS
31-03-2020,30-06-2020,CHAMBLFERT.NS
31-03-2020,30-06-2020,CHENNPETRO.NS
31-03-2020,30-06-2020,CHOLAFIN.NS
31-03-2020,30-06-2020,CHROMATIC.NS
31-03-2020,30-06-2020,CIGNITITEC.NS
31-03-2020,30-06-2020,CINELINE.NS
31-03-2020,30-06-2020,CIPLA.NS
31-03-2020,30-06-2020,CLEDUCATE.NS
31-03-2020,30-06-2020,CLNINDIA.NS
31-03-2020,30-06-2020,CMICABLES.NS
31-03-2020,30-06-2020,CNOVAPETRO.NS
31-03-2020,30-06-2020,COALINDIA.NS
31-03-2020,30-06-2020,COCHINSHIP.NS
31-03-2020,30-06-2020,COLPAL.NS
31-03-2020,30-06-2020,COMPINFO.NS
31-03-2020,30-06-2020,COMPUSOFT.NS
31-03-2020,30-06-2020,CONCOR.NS
31-03-2020,30-06-2020,CONSOFINVT.NS
31-03-2020,30-06-2020,CONTROLPR.NS
31-03-2020,30-06-2020,CORALFINAC.NS
31-03-2020,30-06-2020,CORDSCABLE.NS
31-03-2020,30-06-2020,COROMANDEL.NS
31-03-2020,30-06-2020,COSMOFILMS.NS
31-03-2020,30-06-2020,COUNCODOS.NS
31-03-2020,30-06-2020,CREATIVEYE.NS
31-03-2020,30-06-2020,CREST.NS
31-03-2020,30-06-2020,CRISIL.NS
31-03-2020,30-06-2020,CROMPTON.NS
31-03-2020,30-06-2020,CUB.NS
31-03-2020,30-06-2020,CUBEXTUB.NS
31-03-2020,30-06-2020,CUMMINSIND.NS
31-03-2020,30-06-2020,CUPID.NS
31-03-2020,30-06-2020,CYBERMEDIA.NS
31-03-2020,30-06-2020,CYBERTECH.NS
31-03-2020,30-06-2020,CYIENT.NS
31-03-2020,30-06-2020,DAAWAT.NS
