startdate,enddate,ticker,changelist
31-03-2020,30-06-2020,BLUESTARCO.NS,30.13300524063624
31-03-2020,30-06-2020,BODALCHEM.NS,9.589042443348978
31-03-2020,30-06-2020,BOMDYEING.NS,-12.36338223997782
31-03-2020,30-06-2020,BOSCHLTD.NS,22.40771935551413
31-03-2020,30-06-2020,BPCL.NS,-0.452313266375552
31-03-2020,30-06-2020,BPL.NS,-21.252796057839003
31-03-2020,30-06-2020,BRFL.NS,10.989010528354413
31-03-2020,30-06-2020,BRIGADE.NS,18.20830258144698
31-03-2020,30-06-2020,BRITANNIA.NS,5.515248381034726
31-03-2020,30-06-2020,BRNL.NS,-16.9167817320869
31-03-2020,30-06-2020,BROOKS.NS,105.82676684762549
31-03-2020,30-06-2020,BSE.NS,19.417268861857558
31-03-2020,30-06-2020,BSL.NS,-1.9841269240567974
31-03-2020,30-06-2020,BURNPUR.NS,-33.333331441122304
31-03-2020,30-06-2020,BUTTERFLY.NS,88.5473877822932
31-03-2020,30-06-2020,BVCL.NS,-9.21985925931838
31-03-2020,30-06-2020,BYKE.NS,13.636360053815604
31-03-2020,30-06-2020,CADILAHC.NS,6.213461890826818
31-03-2020,30-06-2020,CAMLINFINE.NS,97.51381492985418
31-03-2020,30-06-2020,CANBK.NS,-12.077294685990339
31-03-2020,30-06-2020,CANTABIL.NS,11.741375101023706
31-03-2020,30-06-2020,CAPACITE.NS,5.263157894736842
31-03-2020,30-06-2020,CAPLIPOINT.NS,80.54859316834836
31-03-2020,30-06-2020,CAPTRUST.NS,-26.181816332267992
31-03-2020,30-06-2020,CARBORUNIV.NS,-5.358764759309718
31-03-2020,30-06-2020,CAREERP.NS,15.66433139614292
31-03-2020,30-06-2020,CARERATING.NS,-16.322896533541627
31-03-2020,30-06-2020,CASTEXTECH.NS,-46.153845095775495
31-03-2020,30-06-2020,CASTROLIND.NS,-11.515151515151516
31-03-2020,30-06-2020,CCCL.NS,-19.999998807907104
